   65536	  120151	       0
  131072	  122737	       0
  262144	  118188	       0
  524288	  111112	       0
 1048576	  110237	       0
 2097152	   98607	       0
 4194304	  112521	       0
 8388608	  121104	       0
16777216	  118698	       0
     128	     414	       0
     256	    1117	       0
     512	    2414	       0
    1024	    4860	       0
    2048	    9543	       0
    4096	   18704	       0
    8192	   26518	       0
   16384	   52030	       0
   32768	   97292	       0
   65536	  120786	       0
  131072	  123796	       0
  262144	  125742	       0
  524288	  130414	       0
 1048576	  120812	       0
 2097152	  126617	       0
 4194304	  139759	       0
 8388608	  115133	       0
16777216	  135193	       0
     128	     414	       0
     256	    1118	       0
     512	    2417	       0
    1024	    4875	       0
    2048	    9561	       0
    4096	   18667	       0
    8192	   26448	       0
   16384	   51814	       0
   32768	   97429	       0
   65536	  120691	       0
  131072	  120013	       0
  262144	  117054	       0
  524288	  117592	       0
 1048576	  115326	       0
 2097152	  111735	       0
 4194304	   91116	       0
 8388608	  113310	       0
16777216	  111098	       0
     128	     415	       0
     256	    1118	       0
     512	    2423	       0
    1024	    4844	       0
    2048	    9550	       0
    4096	   18506	       0
    8192	   26445	       0
   16384	   51909	       0
   32768	   97381	       0
   65536	  120771	       0
  131072	  120732	       0
  262144	  121054	       0
  524288	  114305	       0
 1048576	  121160	       0
 2097152	  109642	       0
 4194304	   94572	       0
 8388608	  112141	       0
16777216	  100978	       0
     128	     416	       0
     256	    1118	       0
     512	    2414	       0
    1024	    4882	       0
    2048	    9485	       0
    4096	   18758	       0
    8192	   26394	       0
   16384	   52029	       0
   32768	   97818	       0
   65536	  119800	       0
  131072	  123792	       0
  262144	  125787	       0
  524288	  122824	       0
 1048576	  126902	       0
 2097152	  132381	       0
 4194304	  137131	       0
 8388608	  139131	       0
16777216	  117295	       0
     128	     416	       0
     256	    1116	       0
     512	    2417	       0
    1024	    4866	       0
    2048	    9545	       0
    4096	   18663	       0
    8192	   26397	       0
   16384	   51920	       0
   32768	   97428	       0
   65536	  120298	       0
  131072	  122429	       0
  262144	  126112	       0
  524288	  126160	       0
 1048576	  124082	       0
 2097152	  131351	       0
 4194304	  122328	       0
 8388608	  141112	       0
16777216	  141998	       0
     128	     415	       0
     256	    1116	       0
     512	    2415	       0
    1024	    4839	       0
    2048	    9547	       0
    4096	   18574	       0
    8192	   26446	       0
   16384	   51798	       0
   32768	   97440	       0
   65536	  120686	       0
  131072	  119655	       0
  262144	  119330	       0
  524288	  116257	       0
 1048576	  120166	       0
 2097152	  105029	       0
 4194304	   93424	       0
 8388608	  122494	       0
16777216	  123650	       0
     128	     415	       0
     256	    1118	       0
     512	    2417	       0
    1024	    4883	       0
    2048	    9548	       0
    4096	   18803	       0
    8192	   26380	       0
   16384	   51843	       0
   32768	   97399	       0
   65536	  120782	       0
  131072	  123827	       0
  262144	  125746	       0
  524288	  129275	       0
 1048576	  128371	       0
 2097152	  125135	       0
 4194304	  137760	       0
 8388608	  133601	       0
16777216	  111229	       0
