    4096	4685.589665	354304	456704	544768	765952	1056768	1515520	2244608	3424256	5537792	9371648	17956864	28180480	60555264	77070336	108527616	120061952	137363456
    8192	3300.406315	497664	1318912	2605056	4358144	5799936	7110656	8355840	9633792	10944512	13434880	17694720	22675456	35389440	42205184	59506688	64749568	76021760
   16384	3245.577801	528384	1269760	2605056	4423680	5865472	7176192	8454144	9633792	11075584	13565952	17956864	23199744	37486592	44826624	62128128	67633152	86507520
   32768	3051.630525	602112	1466368	2736128	4554752	6062080	7372800	8716288	10027008	11730944	14352384	19267584	24772608	41680896	51642368	85458944	135266304	187695104
   65536	1887.353029	610304	765952	913408	1253376	1843200	2768896	4423680	6848512	10551296	18481152	44302336	81264640	196083712	217055232	304087040	367001600	541065216
  131072	964.0625	815104	1028096	1204224	1581056	2113536	3063808	4947968	8355840	15138816	38535168	108527616	187695104	341835776	400556032	530579456	591396864	633339904
  262144	480.030594	1138688	1417216	1695744	2179072	2801664	3719168	5406720	9502720	24248320	91750400	238026752	371195904	641728512	708837376	809500672	859832320	943718400
  524288	244.380346	1777664	2211840	2637824	3424256	4292608	5406720	7307264	11337728	25821184	113770496	417333248	910163968	1551892480	1820327936	2071986176	2139095040	2197815296
 1048576	127.208597	2768896	3588096	4292608	5734400	7241728	9240576	12124160	17694720	37486592	152043520	817889280	1853882368	3439329280	4143972352	4865392640	5066719232	5200936960
 2097152	64.390749	5013504	6717440	8355840	11599872	15138816	20316160	27918336	38535168	73924608	246415360	1954545664	3472883712	5402263552	5939134464	6543114240	6811549696	6811549696
 4194304	32.401384	8978432	12255232	15794176	20578304	26607616	36438016	49545216	77070336	240123904	834666496	3741319168	6878658560	10133438464	10267656192	11207180288	11341398016	11341398016
 8388608	16.090941	20054016	26869760	34340864	55836672	79167488	175112192	316669952	809500672	2466250752	3841982464	5737807872	8422162432	13354663936	14025752576	15367929856	15367929856	15367929856
16777216	7.867624	32899072	72876032	124256256	291504128	901775360	2088763392	3405774848	4395630592	5804916736	7147094016	9328132096	10536091648	14428405760	14428405760	14696841216	14696841216	14696841216
     128	3329.813106	493568	1384448	2637824	4292608	5668864	6979584	8159232	9371648	10682368	13041664	17694720	22151168	34865152	41156608	71827456	120061952	221249536
     256	4474.824453	354304	473088	602112	905216	1384448	2179072	3457024	5275648	7700480	10551296	16711680	24510464	51118080	65273856	104333312	119013376	160432128
     512	4827.942303	346112	444416	544768	774144	1089536	1597440	2408448	3784704	6062080	9633792	17170432	26083328	52690944	64225280	94896128	106430464	141557760
    1024	4865.383334	342016	436224	528384	733184	1019904	1449984	2113536	3260416	5275648	8978432	17170432	27656192	57409536	71827456	106430464	124256256	147849216
    2048	4763.363103	354304	448512	544768	757760	1056768	1515520	2211840	3424256	5472256	9371648	17956864	27918336	55836672	68681728	101187584	119013376	152043520
    4096	4682.581462	358400	452608	544768	749568	1056768	1499136	2244608	3489792	5668864	9502720	17956864	27918336	59506688	74973184	111673344	121110528	139460608
    8192	3299.953423	501760	1302528	2605056	4358144	5799936	7110656	8355840	9633792	10944512	13434880	17694720	22675456	35389440	42205184	60030976	65273856	76021760
   16384	3236.181406	522240	1286144	2605056	4423680	5865472	7176192	8454144	9633792	11075584	13565952	18219008	23199744	37486592	44826624	62128128	67633152	86507520
   32768	3057.489258	602112	1531904	2867200	4685824	6193152	7503872	8847360	10027008	11599872	14221312	19005440	24510464	40632320	51118080	82313216	119013376	187695104
   65536	1877.371048	626688	806912	978944	1449984	2277376	3719168	5734400	8290304	11468800	18219008	42205184	77070336	189792256	212860928	304087040	362807296	583008256
  131072	967.812656	856064	1122304	1384448	2056192	3260416	5210112	7634944	10682368	16580608	36438016	102236160	181403648	333447168	383778816	505413632	583008256	633339904
  262144	488.613318	1122304	1417216	1695744	2211840	2834432	3784704	5472256	9633792	24772608	91750400	227540992	362807296	624951296	700448768	784334848	868220928	910163968
  524288	250.041436	1728512	2244608	2670592	3489792	4423680	5668864	8028160	13041664	27918336	112721920	400556032	901775360	1518338048	1686110208	2055208960	2105540608	2197815296
 1048576	128.176432	3227648	5144576	7372800	13172736	16449536	19267584	22151168	26345472	38535168	123207680	792723456	1769996288	3472883712	4143972352	4999610368	5133828096	5133828096
 2097152	60.502728	4751360	6062080	7307264	9895936	12255232	15269888	19529728	27656192	65798144	295698432	2122317824	3539992576	5603590144	5804916736	6476005376	7147094016	7147094016
 4194304	30.331874	9502720	12255232	15400960	20054016	25559040	32899072	44302336	69730304	242221056	1132462080	3976200192	7079985152	10133438464	10401873920	10804527104	10804527104	10804527104
 8388608	14.07384	17432576	27394048	34865152	58458112	115867648	217055232	396361728	1535115264	2701131776	4395630592	6207569920	9730785280	13757317120	14159970304	14428405760	14428405760	14428405760
16777216	7.014687	32374784	61079552	130547712	283115520	826277888	3003121664	3808428032	5268045824	6341787648	7952400384	10536091648	12280922112	13354663936	13623099392	14294188032	14294188032	14294188032
     128	3331.989471	485376	1368064	2605056	4292608	5668864	6979584	8159232	9371648	10682368	13172736	17694720	22151168	34865152	41156608	70778880	110624768	219152384
     256	4477.038862	354304	473088	593920	897024	1368064	2146304	3391488	5210112	7634944	10551296	16711680	25034752	52166656	65798144	104333312	116916224	154140672
     512	4841.915928	346112	448512	552960	790528	1122304	1613824	2441216	3784704	6062080	9633792	16908288	25821184	52166656	64749568	92798976	106430464	141557760
    1024	4883.050283	342016	436224	528384	733184	1011712	1449984	2113536	3260416	5275648	8978432	17170432	27394048	56885248	70778880	109576192	125304832	152043520
    2048	4764.931215	354304	448512	536576	749568	1036288	1482752	2179072	3391488	5472256	9371648	17694720	27918336	56885248	69730304	103284736	120061952	149946368
    4096	4694.28067	354304	456704	552960	765952	1073152	1531904	2244608	3457024	5537792	9371648	17694720	28180480	60555264	76021760	109576192	117964800	139460608
    8192	3320.106613	473088	1204224	2506752	4292608	5734400	7045120	8290304	9502720	10944512	13303808	17694720	22675456	35389440	42205184	58982400	64749568	76021760
   16384	3240.759241	528384	1269760	2539520	4358144	5865472	7176192	8454144	9633792	11075584	13565952	18219008	23199744	38010880	45350912	62128128	68681728	86507520
   32768	3047.948855	610304	1515520	2834432	4685824	6127616	7438336	8716288	10027008	11730944	14221312	19005440	24510464	41156608	51642368	83361792	139460608	187695104
   65536	1879.082465	618496	790528	954368	1384448	2088960	3293184	5144576	7700480	11075584	18481152	42729472	79167488	193986560	214958080	295698432	387973120	591396864
  131072	967.290961	888832	1187840	1548288	2572288	4292608	6389760	8716288	11468800	16908288	35913728	99090432	179306496	333447168	383778816	505413632	583008256	608174080
  262144	483.101063	1138688	1417216	1695744	2211840	2801664	3751936	5472256	9502720	24510464	93847552	231735296	371195904	633339904	700448768	801112064	868220928	918552576
  524288	241.438754	1761280	2244608	2637824	3358720	4177920	5275648	7045120	11075584	25559040	114819072	413138944	943718400	1602224128	1786773504	2105540608	2164260864	2164260864
 1048576	120.133298	2801664	3620864	4292608	5603328	7176192	8847360	11468800	16908288	36438016	158334976	851443712	1971322880	3674210304	4278190080	5066719232	5066719232	5133828096
 2097152	63.15687	4947968	6062080	7241728	9764864	12255232	15663104	20840448	28704768	63700992	263192576	2105540608	3607101440	5469372416	5737807872	6408896512	6677331968	6677331968
 4194304	30.765327	10027008	13041664	16187392	21626880	27656192	36962304	50593792	83361792	238026752	1002438656	3942645760	6945767424	9999220736	10401873920	10804527104	10804527104	10804527104
 8388608	15.431613	17170432	26869760	32636928	49545216	82313216	166723584	295698432	1010827264	2600468480	3976200192	5939134464	8925478912	13891534848	14294188032	14696841216	14696841216	14696841216
16777216	6.952709	31850496	53215232	102236160	354418688	851443712	3103784960	3841982464	5200936960	6274678784	8153726976	10804527104	12280922112	13354663936	14294188032	14428405760	14428405760	14428405760
     128	3318.543686	493568	1368064	2605056	4292608	5668864	6979584	8159232	9371648	10682368	13172736	17694720	22151168	34865152	41156608	70778880	200278016	221249536
     256	4476.913852	354304	468992	593920	888832	1351680	2146304	3424256	5210112	7634944	10551296	16711680	25034752	51642368	65798144	106430464	119013376	147849216
     512	4835.498268	346112	448512	552960	782336	1105920	1613824	2441216	3817472	6062080	9764864	16908288	25821184	52690944	65273856	94896128	106430464	130547712
    1024	4878.731343	342016	440320	536576	741376	1028096	1449984	2146304	3260416	5210112	8847360	17170432	27394048	56885248	70778880	109576192	127401984	147849216
    2048	4769.469159	350208	448512	544768	757760	1056768	1499136	2211840	3391488	5472256	9240576	17694720	27918336	57409536	69730304	102236160	115867648	152043520
    4096	4693.74292	358400	456704	552960	774144	1089536	1548288	2277376	3489792	5603328	9371648	17694720	27918336	60030976	74973184	109576192	123207680	143654912
    8192	3300.316508	501760	1318912	2637824	4358144	5799936	7110656	8355840	9633792	10944512	13434880	17694720	22675456	35389440	42205184	58982400	64225280	76021760
   16384	3240.202444	528384	1286144	2572288	4358144	5865472	7176192	8454144	9633792	11075584	13565952	18219008	23199744	38010880	45350912	61603840	68681728	86507520
   32768	3043.941411	610304	1531904	2867200	4751360	6193152	7503872	8847360	10158080	11730944	14221312	19005440	24510464	41156608	51118080	83361792	145752064	200278016
   65536	1887.515822	602112	749568	888832	1204224	1728512	2637824	4112384	6455296	10289152	18743296	44826624	81264640	193986560	214958080	308281344	379584512	534773760
  131072	963.931919	823296	1019904	1204224	1581056	2113536	3096576	4947968	8224768	15007744	38535168	108527616	187695104	341835776	400556032	526385152	583008256	608174080
  262144	483.955708	1155072	1449984	1712128	2211840	2834432	3719168	5406720	9371648	23461888	88604672	235929600	367001600	641728512	708837376	809500672	876609536	918552576
  524288	254.657561	1875968	2703360	3653632	5865472	8978432	11862016	14614528	18481152	29491200	99090432	379584512	851443712	1501560832	1652555776	2021654528	2088763392	2197815296
 1048576	   128.0	2998272	4227072	5472256	8290304	11993088	15925248	19791872	25296896	39583744	132644864	792723456	1786773504	3472883712	4143972352	5066719232	5066719232	5133828096
 2097152	59.770787	4882432	6127616	7241728	9502720	11730944	14876672	19529728	27918336	66322432	299892736	2164260864	3640655872	5603590144	5939134464	6744440832	7012876288	7012876288
 4194304	31.579281	9109504	12255232	15663104	20054016	25034752	34865152	47972352	74973184	219152384	884998144	3841982464	7214202880	10133438464	10670309376	11341398016	11341398016	11341398016
 8388608	13.397642	21364736	29229056	35913728	51118080	80216064	166723584	425721856	1753219072	2868903936	4731174912	7079985152	9730785280	14159970304	14294188032	15367929856	15367929856	15367929856
16777216	7.983783	34865152	67633152	94896128	270532608	784334848	2055208960	3338665984	4278190080	5939134464	7281311744	9462349824	10804527104	13354663936	14562623488	15099494400	15099494400	15099494400
     128	3321.542766	493568	1384448	2637824	4292608	5668864	6979584	8159232	9371648	10682368	13172736	17432576	22151168	34865152	41156608	69730304	177209344	221249536
     256	4469.196681	354304	468992	593920	897024	1351680	2146304	3457024	5341184	7766016	10682368	16908288	25034752	50593792	64749568	94896128	110624768	152043520
     512	4847.048241	346112	444416	552960	782336	1105920	1613824	2408448	3751936	5996544	9502720	16908288	26083328	53215232	65273856	95944704	111673344	135266304
    1024	4840.708554	342016	436224	528384	733184	1019904	1449984	2113536	3260416	5275648	8978432	17170432	27918336	58982400	72876032	105381888	113770496	141557760
    2048	4786.761277	350208	452608	544768	765952	1056768	1515520	2244608	3424256	5472256	9371648	17694720	27656192	56360960	69730304	99090432	112721920	152043520
    4096	4654.563624	354304	452608	544768	757760	1056768	1515520	2244608	3457024	5537792	9371648	17694720	28442624	59506688	77070336	122159104	137363456	166723584
    8192	3299.28393	497664	1302528	2605056	4358144	5799936	7110656	8355840	9502720	10944512	13434880	17694720	22675456	35389440	42729472	59506688	65798144	76021760
   16384	3241.565362	536576	1269760	2572288	4358144	5865472	7176192	8454144	9633792	11075584	13565952	18219008	23199744	37486592	44826624	61603840	67633152	85458944
   32768	3044.035415	634880	1597440	2899968	4751360	6193152	7503872	8847360	10027008	11730944	14352384	19267584	24510464	41156608	50593792	77070336	105381888	196083712
   65536	1877.366967	724992	1302528	2572288	4882432	6782976	8454144	10027008	11993088	15007744	20578304	34865152	57933824	135266304	177209344	233832448	244318208	295698432
  131072	958.887264	774144	970752	1187840	1761280	2899968	5013504	7503872	10158080	13697024	25821184	79167488	170917888	471859200	583008256	708837376	725614592	750780416
  262144	461.673921	995328	1236992	1482752	1974272	2670592	3719168	5537792	9240576	16711680	44302336	149946368	421527552	1069547520	1266679808	1518338048	1535115264	1568669696
  524288	217.017335	1384448	1630208	1941504	2605056	3489792	4685824	6717440	10813440	20578304	59506688	258998272	717225984	2734686208	3070230528	3439329280	3472883712	3539992576
 1048576	107.65385	2211840	2703360	3260416	4423680	5931008	7962624	11075584	16908288	33161216	132644864	650117120	1870659584	5200936960	5536481280	6073352192	6140461056	6140461056
 2097152	48.148268	3686400	4751360	5734400	7372800	9764864	13041664	17432576	25821184	53215232	320864256	2105540608	4529848320	9328132096	9865003008	9999220736	9999220736	9999220736
 4194304	27.471149	7176192	10289152	12517376	22675456	35389440	46923776	60555264	87556096	223346688	893386752	3741319168	7348420608	15502147584	16307453952	17112760320	17112760320	17112760320
 8388608	14.783262	13697024	23199744	34340864	50069504	80216064	168820736	392167424	1283457024	2634022912	3841982464	6073352192	9059696640	14696841216	15099494400	15636365312	15636365312	15636365312
